Monat;Tag;Wochentag;Anzahl Schritte
Januar;1;Mittwoch;12236
Januar;2;Donnerstag;13022
Januar;3;Freitag;9097
Januar;4;Samstag;10867
Januar;5;Sonntag;818
Januar;6;Montag;8621
Januar;7;Dienstag;4521
Januar;8;Mittwoch;3958
Januar;9;Donnerstag;3019
Januar;10;Freitag;4604
Januar;11;Samstag;8788
Januar;12;Sonntag;2601
Januar;13;Montag;6442
Januar;14;Dienstag;7615
Januar;15;Mittwoch;9938
Januar;16;Donnerstag;15595
Januar;17;Freitag;13987
Januar;18;Samstag;9416
Januar;19;Sonntag;10079
Januar;20;Montag;11288
Januar;21;Dienstag;9373
Januar;22;Mittwoch;5446
Januar;23;Donnerstag;12476
Januar;24;Freitag;22448
Januar;25;Samstag;17501
Januar;26;Sonntag;2731
Januar;27;Montag;10668
Januar;28;Dienstag;10398
Januar;29;Mittwoch;11018
Januar;30;Donnerstag;10534
Januar;31;Freitag;12251
Februar;1;Samstag;17887
Februar;2;Sonntag;1015
Februar;3;Montag;3090
Februar;4;Dienstag;11201
Februar;5;Mittwoch;12598
Februar;6;Donnerstag;3167
Februar;7;Freitag;10179
Februar;8;Samstag;9440
Februar;9;Sonntag;445
Februar;10;Montag;13215
Februar;11;Dienstag;9676
Februar;12;Mittwoch;10897
Februar;13;Donnerstag;8375
Februar;14;Freitag;11449
Februar;15;Samstag;9137
Februar;16;Sonntag;5394
Februar;17;Montag;8359
Februar;18;Dienstag;8456
Februar;19;Mittwoch;2159
Februar;20;Donnerstag;10978
Februar;21;Freitag;9807
Februar;22;Samstag;9606
Februar;23;Sonntag;10240
Februar;24;Montag;10061
Februar;25;Dienstag;9274
Februar;26;Mittwoch;11011
Februar;27;Donnerstag;9428
Februar;28;Freitag;9423
März;1;Samstag;8788
März;2;Sonntag;10292
März;3;Montag;10385
März;4;Dienstag;11491
März;5;Mittwoch;9426
März;6;Donnerstag;10311
März;7;Freitag;11693
März;8;Samstag;11373
März;9;Sonntag;8560
März;10;Montag;11316
März;11;Dienstag;10969
März;12;Mittwoch;10448
März;13;Donnerstag;9830
März;14;Freitag;10957
März;15;Samstag;9050
März;16;Sonntag;9430
März;17;Montag;1671
März;18;Dienstag;9419
März;19;Mittwoch;9624
März;20;Donnerstag;11555
März;21;Freitag;9507
März;22;Samstag;10833
März;23;Sonntag;8566
März;24;Montag;11016
März;25;Dienstag;10045
März;26;Mittwoch;1560
März;27;Donnerstag;10015
März;28;Freitag;12356
März;29;Samstag;10613
März;30;Sonntag;9368
März;31;Montag;10801
April;1;Dienstag;10678
April;2;Mittwoch;12083
April;3;Donnerstag;6370
April;4;Freitag;373
April;5;Samstag;4774
April;6;Sonntag;9203
April;7;Montag;5906
April;8;Dienstag;10664
April;9;Mittwoch;7444
April;10;Donnerstag;10609
April;11;Freitag;1377
April;12;Samstag;6242
April;13;Sonntag;13595
April;14;Montag;5679
April;15;Dienstag;10142
April;16;Mittwoch;6080
April;17;Donnerstag;10065
April;18;Freitag;4603
April;19;Samstag;12282
April;20;Sonntag;6392
April;21;Montag;10271
April;22;Dienstag;5471
April;23;Mittwoch;9222
April;24;Donnerstag;6495
April;25;Freitag;9862
April;26;Samstag;5350
April;27;Sonntag;8892
April;28;Montag;6090
April;29;Dienstag;10041
April;30;Mittwoch;6382
Mai;1;Donnerstag;11901
Mai;2;Freitag;8782
Mai;3;Samstag;8954
Mai;4;Sonntag;12208
Mai;5;Montag;7203
Mai;6;Dienstag;11506
Mai;7;Mittwoch;7232
Mai;8;Donnerstag;10568
Mai;9;Freitag;7150
Mai;10;Samstag;9250
Mai;11;Sonntag;11998
Mai;12;Montag;8931
Mai;13;Dienstag;6370
Mai;14;Mittwoch;15786
Mai;15;Donnerstag;9008
Mai;16;Freitag;16000
Mai;17;Samstag;301
Mai;18;Sonntag;6875
Mai;19;Montag;13817
Mai;20;Dienstag;5051
Mai;21;Mittwoch;14354
Mai;22;Donnerstag;7797
Mai;23;Freitag;4424
Mai;24;Samstag;5809
Mai;25;Sonntag;8811
Mai;26;Montag;8636
Mai;27;Dienstag;13188
Mai;28;Mittwoch;14237
Mai;29;Donnerstag;9404
Mai;30;Freitag;6083
Mai;31;Samstag;12091
Juni;1;Sonntag;4633
Juni;2;Montag;13584
Juni;3;Dienstag;12914
Juni;4;Mittwoch;14140
Juni;5;Donnerstag;9410
Juni;6;Freitag;7180
Juni;7;Samstag;9462
Juni;8;Sonntag;4994
Juni;9;Montag;9078
Juni;10;Dienstag;12126
